Province/State,Country/Region,Lat,Long,7/31/2020
Hong Kong,China,22.3,114.2,1751
Hubei,China,30.9756,112.2707,63623
Hunan,China,27.6104,111.7088,1015
Inner Mongolia,China,44.0935,113.9448,244
Jiangsu,China,32.9711,119.455,654
Jiangxi,China,27.614,115.7221,931
Jilin,China,43.6661,126.1923,153
Liaoning,China,41.2956,122.6085,160
Macau,China,22.1667,113.55,46
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,318
Shandong,China,36.3427,118.1498,785
Shanghai,China,31.202,121.4491,724
Shanxi,China,37.5777,112.2922,201
Sichuan,China,30.6171,102.7103,597
Tianjin,China,39.3054,117.323,195
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,89
Yunnan,China,24.974,101.487,187
Zhejiang,China,29.1832,120.0934,1268
,Colombia,4.5709,-74.2973,154387
,Congo (Brazzaville),-0.228,15.8277,829
,Congo (Kinshasa),-4.0383,21.7587,6796
,Costa Rica,9.7489,-83.7534,4404
,Cote d'Ivoire,7.54,-5.5471,11428
,Croatia,45.1,15.2,4267
,Diamond Princess,0,0,651
,Cuba,21.521757,-77.781167,2355
,Cyprus,35.1264,33.4299,852
,Czechia,49.8175,15.473,11569
Faroe Islands,Denmark,61.8926,-6.9118,189
Greenland,Denmark,71.7069,-42.6043,13
,Denmark,56.2639,9.5018,12578
,Djibouti,11.8251,42.5903,4999
,Dominica,15.415,-61.371,18
,Dominican Republic,18.7357,-70.1627,36470
,Ecuador,-1.8312,-78.1834,36044
,Egypt,26.820553,30.802498,39638
,El Salvador,13.7942,-88.8965,8362
,Equatorial Guinea,1.6508,10.2679,2182
,Eritrea,15.1794,39.7823,225
,Estonia,58.5953,25.0136,1930
,Eswatini,-26.5225,31.4659,1214
,Ethiopia,9.145,40.4897,6950
,Fiji,-17.7134,178.065,18
,Finland,61.92411,25.748151,6950
French Guiana,France,3.9339,-53.1258,6386
French Polynesia,France,-17.6797,149.4068,62
Guadeloupe,France,16.265,-61.551,179
Martinique,France,14.6415,-61.0242,98
Mayotte,France,-12.8275,45.166244,2721
New Caledonia,France,-20.904305,165.618042,22
Reunion,France,-21.1151,55.5364,592
Saint Barthelemy,France,17.9,-62.8333,6
St Martin,France,18.0708,-63.0501,41
,France,46.2276,2.2137,71656
,Gabon,-0.8037,11.6094,4943
,Gambia,13.4432,-15.3101,68
,Georgia,42.3154,43.3569,940
,Germany,51.165691,10.451526,191992
,Ghana,7.9465,-1.0232,32096
,Grenada,12.1165,-61.679,23
,Greece,39.0742,21.8243,1374
,Guatemala,15.7835,-90.2308,36816
,Guinea,9.9456,-9.6966,6458
,Guinea-Bissau,11.8037,-15.1804,803
,Guyana,4.860416,-58.93018,185
,Haiti,18.9712,-72.2852,4606
,Holy See,41.9029,12.4534,12
,Honduras,15.2,-86.2419,5554
,Hungary,47.1625,19.5033,3353
,Iceland,64.9631,-19.0208,1825
,India,20.593684,78.96288,1094374
,Indonesia,-0.7893,113.9213,65907
,Iran,32.427908,53.688046,263519
,Iraq,33.223191,43.679291,87434
,Ireland,53.1424,-7.6921,23364
,Israel,31.046051,34.851612,43850
,Italy,41.87194,12.56738,199974
,Jamaica,18.1096,-77.2975,726
,Japan,36.204824,138.252924,24774
,Jordan,31.24,36.51,1084
,Kazakhstan,48.0196,66.9237,60825
,Kenya,-0.0236,37.9062,8165
,"Korea, South",35.907757,127.766922,13233
,Kuwait,29.31166,47.481766,57932
,Kyrgyzstan,41.20438,74.766098,25037
,Latvia,56.8796,24.6032,1052
,Lebanon,33.8547,35.8623,1761
,Liberia,6.428055,-9.429499,670
,Libya,26.3351,17.228331,618
,Liechtenstein,47.14,9.55,85
,Lithuania,55.1694,23.8813,1644
,Luxembourg,49.8153,6.1296,5192
,Madagascar,-18.766947,46.869107,7807
,Malaysia,4.210484,101.975766,8644
,Maldives,3.2028,73.2207,2607
,Mali,17.570692,-3.996166,1937
,Malta,35.9375,14.3754,665
,Mauritania,21.0079,-10.9408,4962
,Mauritius,-20.348404,57.552152,332
,Mexico,23.6345,-102.5528,327115
,Moldova,47.4116,28.3699,17269
,Monaco,43.7333,7.4167,105
,Mongolia,46.8625,103.8467,230
,Montenegro,42.708678,19.37439,1005
,Morocco,31.7917,-7.0926,17658
,Mozambique,-18.6657,35.5296,641
,Namibia,-22.9576,18.4904,166
,Nepal,28.1667,84.25,14399
Aruba,Netherlands,12.5211,-69.9683,105
Curacao,Netherlands,12.1696,-68.99,24
Sint Maarten,Netherlands,18.0425,-63.0548,64
,Netherlands,52.1326,5.2913,0
,New Zealand,-40.9006,174.886,1518
,Nicaragua,12.865416,-85.207229,2492
,Niger,17.607789,8.081666,1028
,Nigeria,9.082,8.6753,19565
,North Macedonia,41.6086,21.7453,6554
,Norway,60.472,8.4689,8752
,Oman,21.512583,55.923255,61421
,Pakistan,30.3753,69.3451,247177
,Panama,8.538,-80.7821,39166
,Papua New Guinea,-6.314993,143.95555,11
,Paraguay,-23.4425,-58.4438,3548
,Peru,-9.19,-75.0152,283915
,Philippines,12.879721,121.774017,65178
,Poland,51.9194,19.1451,33987
,Portugal,39.3999,-8.2245,36483
,Qatar,25.3548,51.1839,107377
,Romania,45.9432,24.9668,27007
,Russia,61.52401,105.318756,637217
,Rwanda,-1.9403,29.8739,1106
,Saint Kitts and Nevis,17.357822,-62.782998,16
,Saint Lucia,13.9094,-60.9789,22
,Saint Vincent and the Grenadines,12.9843,-61.2872,44
,San Marino,43.9424,12.4578,657
,Saudi Arabia,23.885942,45.079162,235658
,Senegal,14.4974,-14.4524,6776
,Serbia,44.0165,21.0059,0
,Seychelles,-4.6796,55.492,39
,Singapore,1.2833,103.8333,46491
,Slovakia,48.669,19.699,1695
,Slovenia,46.1512,14.9955,1797
,Somalia,5.152149,46.199616,1562
,South Africa,-30.5595,22.9375,326171
,Spain,40.463667,-3.74922,150376
,Sri Lanka,7.873054,80.771797,2391
,Sudan,12.8628,30.2176,6119
,Suriname,3.9193,-56.0278,1080
,Sweden,60.128161,18.643501,0
,Switzerland,46.8182,8.2275,31100
,Syria,34.8021,38.9968,237
,Taiwan*,23.7,121,440
,Tanzania,-6.369028,34.888822,183
,Thailand,15.870032,100.992541,3125
,Timor-Leste,-8.8742,125.7275,24
,Togo,8.6195,0.8248,641
,Trinidad and Tobago,10.6918,-61.2225,132
,Tunisia,33.886917,9.537499,1195
,Turkey,38.9637,35.2433,214535
,Uganda,1.373333,32.290275,1028
,Ukraine,48.3794,31.1656,39945
,United Arab Emirates,23.424076,53.847818,53909
Bermuda,United Kingdom,32.3078,-64.7505,141
Cayman Islands,United Kingdom,19.3133,-81.2546,202
Channel Islands,United Kingdom,49.3723,-2.3644,533
Gibraltar,United Kingdom,36.1408,-5.3536,181
Isle of Man,United Kingdom,54.2361,-4.5481,312
Montserrat,United Kingdom,16.742498,-62.187366,10
,United Kingdom,55.3781,-3.436,0
,Uruguay,-32.5228,-55.7658,994
,US,40,-100,1438160
,Uzbekistan,41.377491,64.585262,14464
,Venezuela,6.4238,-66.5897,10421
,Vietnam,14.058324,108.277199,373
,Zambia,-13.133897,27.849332,3803
,Zimbabwe,-19.015438,29.154857,1004
,West Bank and Gaza,31.9522,35.2332,5077
,Laos,19.85627,102.495496,19
,Kosovo,42.602636,20.902977,4463
,Burma,21.9162,95.956,296
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,7
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,37
,MS Zaandam,0,0,0
,Botswana,-22.3285,24.6849,63
,Burundi,-3.3731,29.9189,304
,Sierra Leone,8.460555,-11.779889,1362
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,7
,Malawi,-13.2543,34.3015,1875
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.877,31.307,1175
,Western Sahara,24.2155,-12.8858,8
,Sao Tome and Principe,0.1864,6.6131,778
,Yemen,15.552727,48.516388,862
,Comoros,-11.6455,43.3333,330
,Tajikistan,38.861,71.2761,6193
,Lesotho,-29.61,28.2336,144
